"単語","品詞","品詞細分類1","品詞細分類2","品詞細分類3","活用型","活用形","基本形","読み","発音","長さ","行番号","行内順序","評価"
"や",""助詞","並立助詞","*","*","*","*","や","ヤ","ヤ"","1","37","5","99.0"
"ら",""名詞","一般","*","*","*","*","ら","ラ","ラ"","1","37","6","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","37","7","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","37","8","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","37","9","99.0"
"燃料",""名詞","一般","*","*","*","*","燃料","ネンリョウ","ネンリョー"","2","38","1","99.0"
"補給",""名詞","サ変接続","*","*","*","*","補給","ホキュウ","ホキュー"","2","38","2","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","38","3","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","38","4","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","38","5","99.0"
"だ",""助動詞","*","*","*","特殊・ダ","基本形","だ","ダ","ダ"","1","38","6","99.0"
"けど",""助詞","接続助詞","*","*","*","*","けど","ケド","ケド"","2","38","7","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","38","8","99.0"
"新しく",""形容詞","自立","*","*","形容詞・イ段","連用テ接続","新しい","アタラシク","アタラシク"","3","38","9","99.0"
"「",""記号","括弧開","*","*","*","*","「","「","「"","1","38","10","99.0"
"濃い",""形容詞","自立","*","*","形容詞・アウオ段","基本形","濃い","コイ","コイ"","2","38","11","99.0"
"味",""名詞","一般","*","*","*","*","味","アジ","アジ"","1","38","12","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","38","13","99.0"
"糖",""名詞","一般","*","*","*","*","糖","トウ","トー"","1","38","14","99.0"
"質",""名詞","一般","*","*","*","*","質","シツ","シツ"","1","38","15","99.0"
"０","名詞","未知語","*","*","*","*","０","*","*","1","38","16","99.0"
"ゼロ",""名詞","数","*","*","*","*","ゼロ","ゼロ","ゼロ"","2","38","17","99.0"
"」",""記号","括弧閉","*","*","*","*","」","」","」"","1","38","18","99.0"
"って",""助詞","格助詞","連語","*","*","*","って","ッテ","ッテ"","2","38","19","99.0"
"出",""動詞","自立","*","*","一段","連用形","出る","デ","デ"","1","38","20","99.0"
"て",""動詞","非自立","*","*","一段","連用形","てる","テ","テ"","1","38","21","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","38","22","99.0"
"から",""助詞","接続助詞","*","*","*","*","から","カラ","カラ"","2","38","23","99.0"
"乗り換えよ",""動詞","自立","*","*","一段","未然ウ接続","乗り換える","ノリカエヨ","ノリカエヨ"","5","38","24","99.0"
"う",""助動詞","*","*","*","不変化型","基本形","う","ウ","ウ"","1","38","25","99.0"
"か",""助詞","副助詞／並立助詞／終助詞","*","*","*","*","か","カ","カ"","1","38","26","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","38","27","99.0"
"～","名詞","未知語","*","*","*","*","～","*","*","1","38","28","99.0"
"安い",""形容詞","自立","*","*","形容詞・アウオ段","基本形","安い","ヤスイ","ヤスイ"","2","38","29","99.0"
"し",""助詞","接続助詞","*","*","*","*","し","シ","シ"","1","38","30","99.0"
"あ",""フィラー","*","*","*","*","*","あ","ア","ア"","1","39","1","99.0"
"～","名詞","未知語","*","*","*","*","～","*","*","1","39","2","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","39","3","99.0"
"キリン",""名詞","固有名詞","組織","*","*","*","キリン","キリン","キリン"","3","39","4","99.0"
"本格",""名詞","一般","*","*","*","*","本格","ホンカク","ホンカク"","2","39","5","99.0"
"＜","名詞","未知語","*","*","*","*","＜","*","*","1","39","6","99.0"
"辛口",""名詞","一般","*","*","*","*","辛口","カラクチ","カラクチ"","2","39","7","99.0"
"麦",""名詞","一般","*","*","*","*","麦","ムギ","ムギ"","1","39","8","99.0"
"＞","名詞","未知語","*","*","*","*","＞","*","*","1","39","9","99.0"
"ばっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","ばる","バッ","バッ"","2","39","10","99.0"
"かり",""動詞","自立","*","*","五段・ラ行","連用形","かる","カリ","カリ"","2","39","11","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","39","12","99.0"
"で",""動詞","非自立","*","*","一段","連用形","でる","デ","デ"","1","39","13","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","39","14","99.0"
"から",""助詞","接続助詞","*","*","*","*","から","カラ","カラ"","2","39","15","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","39","16","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","39","17","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","39","18","99.0"
"じゃ",""助詞","副助詞","*","*","*","*","じゃ","ジャ","ジャ"","2","39","19","99.0"
"物",""名詞","一般","*","*","*","*","物","モノ","モノ"","1","39","20","99.0"
"足",""名詞","一般","*","*","*","*","足","アシ","アシ"","1","39","21","99.0"
"りん",""名詞","固有名詞","人名","名","*","*","りん","リン","リン"","2","39","22","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","39","23","99.0"
"＠Ｓｈｉｎｏｋｅｎ＿ＭＴＶ","名詞","未知語","*","*","*","*","＠Ｓｈｉｎｏｋｅｎ＿ＭＴＶ","*","*","13","40","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","40","2","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","40","3","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","40","4","99.0"
"飲み",""動詞","自立","*","*","五段・マ行","連用形","飲む","ノミ","ノミ"","2","40","5","99.0"
"たい",""助動詞","*","*","*","特殊・タイ","基本形","たい","タイ","タイ"","2","40","6","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","40","7","99.0"
"金",""名詞","一般","*","*","*","*","金","キン","キン"","1","40","8","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","40","9","99.0"
"い",""動詞","自立","*","*","一段","連用形","いる","イ","イ"","1","40","10","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","40","11","99.0"
"＠ｓａｐｐｕｘｘｘ","名詞","未知語","*","*","*","*","＠ｓａｐｐｕｘｘｘ","*","*","9","41","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","41","2","99.0"
"いま",""名詞","副詞可能","*","*","*","*","いま","イマ","イマ"","2","41","3","99.0"
"うち",""名詞","非自立","副詞可能","*","*","*","うち","ウチ","ウチ"","2","41","4","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","41","5","99.0"
"一番",""名詞","副詞可能","*","*","*","*","一番","イチバン","イチバン"","2","41","6","99.0"
"好き",""名詞","形容動詞語幹","*","*","*","*","好き","スキ","スキ"","2","41","7","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","41","8","99.0"
"ニノ","名詞","未知語","*","*","*","*","ニノ","*","*","2","41","9","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","41","10","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","41","11","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","41","12","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","41","13","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","41","14","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","41","15","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","41","16","99.0"
"『",""記号","括弧開","*","*","*","*","『","『","『"","1","41","17","99.0"
"おーい",""感動詞","*","*","*","*","*","おーい","オーイ","オーイ"","3","41","18","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","41","19","99.0"
"こっち",""名詞","代名詞","一般","*","*","*","こっち","コッチ","コッチ"","3","41","20","99.0"
"こっち",""名詞","代名詞","一般","*","*","*","こっち","コッチ","コッチ"","3","41","21","99.0"
"（＾＾）／","名詞","未知語","*","*","*","*","（＾＾）／","*","*","5","41","22","99.0"
"』",""記号","括弧閉","*","*","*","*","』","』","』"","1","41","23","99.0"
"っていう",""助詞","格助詞","連語","*","*","*","っていう","ッテイウ","ッテユウ"","4","41","24","99.0"
"ニノ","名詞","未知語","*","*","*","*","ニノ","*","*","2","41","25","99.0"
"です",""助動詞","*","*","*","特殊・デス","基本形","です","デス","デス"","2","41","26","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","41","27","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","41","28","99.0"
"←",""記号","一般","*","*","*","*","←","←","←"","1","41","29","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","41","30","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","41","31","99.0"
"金曜",""名詞","副詞可能","*","*","*","*","金曜","キンヨウ","キンヨー"","2","41","32","99.0"
"Ｍ","名詞","未知語","*","*","*","*","Ｍ","*","*","1","41","33","99.0"
"ステ",""名詞","固有名詞","一般","*","*","*","ステ","ステ","ステ"","2","41","34","99.0"
"ぜ",""助詞","終助詞","*","*","*","*","ぜ","ゼ","ゼ"","1","41","35","99.0"
"っ",""動詞","非自立","*","*","五段・カ行促音便","連用タ接続","く","ッ","ッ"","1","41","36","99.0"
"っ",""動詞","非自立","*","*","五段・カ行促音便","連用タ接続","く","ッ","ッ"","1","41","37","99.0"
"っ",""動詞","非自立","*","*","五段・カ行促音便","連用タ接続","く","ッ","ッ"","1","41","38","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","41","39","99.0"
"い",""動詞","自立","*","*","一段","連用形","いる","イ","イ"","1","41","40","99.0"
"観る",""動詞","自立","*","*","一段","基本形","観る","ミル","ミル"","2","41","41","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","41","42","99.0"
"誓う",""動詞","自立","*","*","五段・ワ行促音便","基本形","誓う","チカウ","チカウ"","2","41","43","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","41","44","99.0"
"笑",""名詞","固有名詞","人名","名","*","*","笑","エミ","エミ"","1","41","45","99.0"
"＠ｊｊｊｙｏｃｈａｎ","名詞","未知語","*","*","*","*","＠ｊｊｊｙｏｃｈａｎ","*","*","10","42","1","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","42","2","99.0"
"ＣＭ","名詞","未知語","*","*","*","*","ＣＭ","*","*","2","42","3","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","42","4","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","42","5","99.0"
"クリア",""名詞","サ変接続","*","*","*","*","クリア","クリア","クリア"","3","42","6","99.0"
"アサヒ",""名詞","固有名詞","組織","*","*","*","アサヒ","アサヒ","アサヒ"","3","42","7","99.0"
"より",""助詞","格助詞","一般","*","*","*","より","ヨリ","ヨリ"","2","42","8","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","42","9","99.0"
"キリン",""名詞","固有名詞","組織","*","*","*","キリン","キリン","キリン"","3","42","10","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","42","11","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","42","12","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","42","13","99.0"
"方",""名詞","非自立","一般","*","*","*","方","ホウ","ホー"","1","42","14","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","42","15","99.0"
"可愛い",""形容詞","自立","*","*","形容詞・イ段","基本形","可愛い","カワイイ","カワイイ"","3","42","16","99.0"
"よ",""助詞","終助詞","*","*","*","*","よ","ヨ","ヨ"","1","42","17","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","42","18","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","42","19","99.0"
"笑",""名詞","固有名詞","人名","名","*","*","笑","エミ","エミ"","1","42","20","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","42","21","99.0"
"向井",""名詞","固有名詞","人名","姓","*","*","向井","ムカイ","ムカイ"","2","42","22","99.0"
"理",""名詞","固有名詞","人名","名","*","*","理","マコト","マコト"","1","42","23","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","42","24","99.0"
"これから",""副詞","助詞類接続","*","*","*","*","これから","コレカラ","コレカラ"","4","42","25","99.0"
"年取っ",""動詞","自立","*","*","五段・ラ行","連用タ接続","年取る","トシトッ","トシトッ"","3","42","26","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","42","27","99.0"
"いく",""動詞","非自立","*","*","五段・カ行促音便","基本形","いく","イク","イク"","2","42","28","99.0"
"のに",""助詞","接続助詞","*","*","*","*","のに","ノニ","ノニ"","2","42","29","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","42","30","99.0"
"あんなに",""副詞","助詞類接続","*","*","*","*","あんなに","アンナニ","アンナニ"","4","42","31","99.0"
"童顔",""名詞","一般","*","*","*","*","童顔","ドウガン","ドーガン"","2","42","32","99.0"
"やっ",""助動詞","*","*","*","特殊・ヤ","連用形","や","ヤッ","ヤッ"","2","42","33","99.0"
"たら",""助動詞","*","*","*","特殊・タ","仮定形","た","タラ","タラ"","2","42","34","99.0"
"嫌",""名詞","形容動詞語幹","*","*","*","*","嫌","イヤ","イヤ"","1","42","35","99.0"
"や",""助詞","並立助詞","*","*","*","*","や","ヤ","ヤ"","1","42","36","99.0"
"～（＞＜；","名詞","未知語","*","*","*","*","～（＞＜；","*","*","5","42","37","99.0"
"）","名詞","未知語","*","*","*","*","）","*","*","1","42","38","99.0"
"笑",""名詞","固有名詞","人名","名","*","*","笑","エミ","エミ"","1","42","39","99.0"
"昨日",""名詞","副詞可能","*","*","*","*","昨日","キノウ","キノー"","2","43","1","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","43","2","99.0"
"深夜",""名詞","副詞可能","*","*","*","*","深夜","シンヤ","シンヤ"","2","43","3","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","43","4","99.0"
"嵐",""名詞","一般","*","*","*","*","嵐","アラシ","アラシ"","1","43","5","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","43","6","99.0"
"ＤＶＤ","名詞","未知語","*","*","*","*","ＤＶＤ","*","*","3","43","7","99.0"
"見",""動詞","自立","*","*","一段","連用形","見る","ミ","ミ"","1","43","8","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","43","9","99.0"
"楽しく",""形容詞","自立","*","*","形容詞・イ段","連用テ接続","楽しい","タノシク","タノシク"","3","43","10","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","43","11","99.0"
"ちゃっ",""動詞","非自立","*","*","五段・ワ行促音便","連用タ接続","ちゃう","チャッ","チャッ"","3","43","12","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","43","13","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","43","14","99.0"
"淡麗",""名詞","固有名詞","一般","*","*","*","淡麗","タンレイ","タンレイ"","2","43","15","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","43","16","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","43","17","99.0"
"５００","名詞","未知語","*","*","*","*","５００","*","*","3","43","18","99.0"
"×",""記号","一般","*","*","*","*","×","カケル","カケル"","1","43","19","99.0"
"３","名詞","未知語","*","*","*","*","３","*","*","1","43","20","99.0"
"・",""記号","一般","*","*","*","*","・","・","・"","1","43","21","99.0"
"氷結",""名詞","サ変接続","*","*","*","*","氷結","ヒョウケツ","ヒョーケツ"","2","43","22","99.0"
"ピーチ",""名詞","一般","*","*","*","*","ピーチ","ピーチ","ピーチ"","3","43","23","99.0"
"５００","名詞","未知語","*","*","*","*","５００","*","*","3","43","24","99.0"
"×",""記号","一般","*","*","*","*","×","カケル","カケル"","1","43","25","99.0"
"２","名詞","未知語","*","*","*","*","２","*","*","1","43","26","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","43","27","99.0"
"飲む",""動詞","自立","*","*","五段・マ行","基本形","飲む","ノム","ノム"","2","43","28","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","43","29","99.0"
"朝",""名詞","固有名詞","地域","国","*","*","朝","チョウ","チョー"","1","43","30","99.0"
"気持ち",""名詞","一般","*","*","*","*","気持ち","キモチ","キモチ"","3","43","31","99.0"
"悪く",""形容詞","自立","*","*","形容詞・アウオ段","連用テ接続","悪い","ワルク","ワルク"","2","43","32","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","43","33","99.0"
"目",""名詞","一般","*","*","*","*","目","メ","メ"","1","43","34","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","43","35","99.0"
"覚め",""動詞","自立","*","*","一段","連用形","覚める","サメ","サメ"","2","43","36","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","43","37","99.0"
"…",""記号","一般","*","*","*","*","…","…","…"","1","43","38","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","43","39","99.0"
"昼",""名詞","副詞可能","*","*","*","*","昼","ヒル","ヒル"","1","43","40","99.0"
"まで",""助詞","副助詞","*","*","*","*","まで","マデ","マデ"","2","43","41","99.0"
"倦怠",""名詞","サ変接続","*","*","*","*","倦怠","ケンタイ","ケンタイ"","2","43","42","99.0"
"感",""名詞","接尾","一般","*","*","*","感","カン","カン"","1","43","43","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","43","44","99.0"
"家",""名詞","一般","*","*","*","*","家","イエ","イエ"","1","43","45","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","43","46","99.0"
"飲ん",""動詞","自立","*","*","五段・マ行","連用タ接続","飲む","ノン","ノン"","2","43","47","99.0"
"で",""助詞","接続助詞","*","*","*","*","で","デ","デ"","1","43","48","99.0"
"この",""連体詞","*","*","*","*","*","この","コノ","コノ"","2","43","49","99.0"
"有様",""名詞","一般","*","*","*","*","有様","アリサマ","アリサマ"","2","43","50","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","43","51","99.0"
"親",""名詞","一般","*","*","*","*","親","オヤ","オヤ"","1","43","52","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","43","53","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","43","54","99.0"
"言っ",""動詞","自立","*","*","五段・ワ行促音便","連用タ接続","言う","イッ","イッ"","2","43","55","99.0"
"て",""動詞","非自立","*","*","一段","未然形","てる","テ","テ"","1","43","56","99.0"
"ない",""助動詞","*","*","*","特殊・ナイ","基本形","ない","ナイ","ナイ"","2","43","57","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","43","58","99.0"
"ＫＩＲＩＮ","名詞","未知語","*","*","*","*","ＫＩＲＩＮ","*","*","5","43","59","99.0"
"に",""助詞","格助詞","一般","*","*","*","に","ニ","ニ"","1","43","60","99.0"
"貢献",""名詞","サ変接続","*","*","*","*","貢献","コウケン","コーケン"","2","43","61","99.0"
"し",""動詞","自立","*","*","サ変・スル","連用形","する","シ","シ"","1","43","62","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","43","63","99.0"
"な",""助動詞","*","*","*","特殊・ダ","体言接続","だ","ナ","ナ"","1","43","64","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","43","65","99.0"
"と",""フィラー","*","*","*","*","*","と","ト","ト"","1","43","66","99.0"
"今",""名詞","副詞可能","*","*","*","*","今","イマ","イマ"","1","43","67","99.0"
"気づく",""動詞","自立","*","*","五段・カ行イ音便","基本形","気づく","キヅク","キズク"","3","43","68","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","43","69","99.0"
"麒麟",""名詞","一般","*","*","*","*","麒麟","キリン","キリン"","2","44","1","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","44","2","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","44","3","99.0"
"四つ",""名詞","一般","*","*","*","*","四つ","ヨッツ","ヨッツ"","2","44","4","99.0"
"葉",""名詞","一般","*","*","*","*","葉","ハ","ハ"","1","44","5","99.0"
"新",""接頭詞","名詞接続","*","*","*","*","新","シン","シン"","1","44","6","99.0"
"デザイン",""名詞","サ変接続","*","*","*","*","デザイン","デザイン","デザイン"","4","44","7","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","44","8","99.0"
"見た目",""名詞","一般","*","*","*","*","見た目","ミタメ","ミタメ"","3","44","9","99.0"
"買い",""名詞","接尾","一般","*","*","*","買い","カイ","カイ"","2","44","10","99.0"
"が",""助詞","格助詞","一般","*","*","*","が","ガ","ガ"","1","44","11","99.0"
"ケンジ",""名詞","固有名詞","人名","名","*","*","ケンジ","ケンジ","ケンジ"","3","44","12","99.0"
"スタイル",""名詞","一般","*","*","*","*","スタイル","スタイル","スタイル"","4","44","13","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","44","14","99.0"
"チン",""名詞","固有名詞","人名","姓","*","*","チン","チン","チン"","2","44","15","99.0"
"チン",""名詞","サ変接続","*","*","*","*","チン","チン","チン"","2","44","16","99.0"
"！","名詞","未知語","*","*","*","*","！","*","*","1","44","17","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","45","1","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","45","2","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","45","3","99.0"
"５００ｍｌ","名詞","未知語","*","*","*","*","５００ｍｌ","*","*","5","45","4","99.0"
"缶",""名詞","一般","*","*","*","*","缶","カン","カン"","1","45","5","99.0"
"を",""助詞","格助詞","一般","*","*","*","を","ヲ","ヲ"","1","45","6","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","45","7","99.0"
"２","名詞","未知語","*","*","*","*","２","*","*","1","45","8","99.0"
"本",""名詞","一般","*","*","*","*","本","ホン","ホン"","1","45","9","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","45","10","99.0"
"飲み干し",""動詞","自立","*","*","五段・サ行","連用形","飲み干す","ノミホシ","ノミホシ"","4","45","11","99.0"
"たっ",""動詞","自立","*","*","五段・タ行","連用タ接続","たつ","タッ","タッ"","2","45","12","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","45","13","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","45","14","99.0"
"　",""記号","空白","*","*","*","*","　","　","　"","1","45","15","99.0"
"これ",""名詞","代名詞","一般","*","*","*","これ","コレ","コレ"","2","45","16","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","45","17","99.0"
"今宵",""名詞","副詞可能","*","*","*","*","今宵","コヨイ","コヨイ"","2","45","18","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","45","19","99.0"
"、",""記号","読点","*","*","*","*","、","、","、"","1","45","20","99.0"
"グッ",""副詞","助詞類接続","*","*","*","*","グッ","グッ","グッ"","2","45","21","99.0"
"スリ",""名詞","一般","*","*","*","*","スリ","スリ","スリ"","2","45","22","99.0"
"と",""助詞","格助詞","引用","*","*","*","と","ト","ト"","1","45","23","99.0"
"眠れる",""動詞","自立","*","*","一段","基本形","眠れる","ネムレル","ネムレル"","3","45","24","99.0"
"かしら",""名詞","一般","*","*","*","*","かしら","カシラ","カシラ"","3","45","25","99.0"
"ー","名詞","未知語","*","*","*","*","ー","*","*","1","45","26","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","45","27","99.0"
"ビール",""名詞","一般","*","*","*","*","ビール","ビール","ビール"","3","46","1","99.0"
"と",""助詞","並立助詞","*","*","*","*","と","ト","ト"","1","46","2","99.0"
"シュウ",""名詞","固有名詞","人名","名","*","*","シュウ","シュウ","シュー"","3","46","3","99.0"
"マイ",""名詞","固有名詞","人名","名","*","*","マイ","マイ","マイ"","2","46","4","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","46","5","99.0"
"さっき",""副詞","助詞類接続","*","*","*","*","さっき","サッキ","サッキ"","3","46","6","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","46","7","99.0"
"リズム",""名詞","一般","*","*","*","*","リズム","リズム","リズム"","3","46","8","99.0"
"隊",""名詞","接尾","一般","*","*","*","隊","タイ","タイ"","1","46","9","99.0"
"練習",""名詞","サ変接続","*","*","*","*","練習","レンシュウ","レンシュー"","2","46","10","99.0"
"の",""助詞","連体化","*","*","*","*","の","ノ","ノ"","1","46","11","99.0"
"録音",""名詞","サ変接続","*","*","*","*","録音","ロクオン","ロクオン"","2","46","12","99.0"
"きい",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","きく","キイ","キイ"","2","46","13","99.0"
"てる",""動詞","非自立","*","*","一段","基本形","てる","テル","テル"","2","46","14","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","46","15","99.0"
"まだまだ",""副詞","助詞類接続","*","*","*","*","まだまだ","マダマダ","マダマダ"","4","46","16","99.0"
"つめ",""動詞","自立","*","*","一段","未然形","つめる","ツメ","ツメ"","2","46","17","99.0"
"れる",""動詞","接尾","*","*","一段","基本形","れる","レル","レル"","2","46","18","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","46","19","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","46","20","99.0"
"最近",""名詞","副詞可能","*","*","*","*","最近","サイキン","サイキン"","2","46","21","99.0"
"グリーン",""名詞","一般","*","*","*","*","グリーン","グリーン","グリーン"","4","46","22","99.0"
"ラベル",""名詞","一般","*","*","*","*","ラベル","ラベル","ラベル"","3","46","23","99.0"
"で",""助詞","格助詞","一般","*","*","*","で","デ","デ"","1","46","24","99.0"
"は",""助詞","係助詞","*","*","*","*","は","ハ","ワ"","1","46","25","99.0"
"酔わ",""動詞","自立","*","*","五段・ワ行促音便","未然形","酔う","ヨワ","ヨワ"","2","46","26","99.0"
"なく",""助動詞","*","*","*","特殊・ナイ","連用テ接続","ない","ナク","ナク"","2","46","27","99.0"
"なっ",""動詞","自立","*","*","五段・ラ行","連用タ接続","なる","ナッ","ナッ"","2","46","28","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","46","29","99.0"
"き",""動詞","非自立","*","*","カ変・クル","連用形","くる","キ","キ"","1","46","30","99.0"
"た",""助動詞","*","*","*","特殊・タ","基本形","た","タ","タ"","1","46","31","99.0"
"なー",""助詞","終助詞","*","*","*","*","なー","ナー","ナー"","2","46","32","99.0"
"。",""記号","句点","*","*","*","*","。","。","。"","1","46","33","99.0"
"つい",""動詞","自立","*","*","五段・カ行イ音便","連用タ接続","つく","ツイ","ツイ"","2","47","1","99.0"
"て",""助詞","接続助詞","*","*","*","*","て","テ","テ"","1","47","2","99.0"
"いき",""動詞","非自立","*","*","五段・カ行促音便","連用形","いく","イキ","イキ"","2","47","3","99.0"
"ます",""名詞","一般","*","*","*","*","ます","マス","マス"","2","47","4","99.0"
